COD_PERFIL;UCS_F;FASES;CLIMA_AMBIENTAL;DISTRIBUCION_LLUVIAS;PORC_PENDIENTE;GRADO_EROSION;DRENAJE_NATURAL;FRECUENCIA_INUNDACION;H1_VOLUMEN_POR_CFR_1;PORC_PEDREGOSIDAD_SUPERFICIAL_CUBIERTA;PROFUNDIDAD_EFECTIVA;H1_CLASE_ESTRUCTURA_1;FERTILIDAD;CE_(dS_m);"PORC_SAT_SODIO
SALINIDAD_PSI ";PORC_SAI;PORC_CARBONO ORGANICO
SN-126;MFE01d;d;18;Bimodal;12-25;N/A;Excesivo;;25;N/A;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MFE01ep;ep;18;Bimodal;25-50;N/A;Excesivo;;25;>15%;<25;Fina y media;Muy baja;0;0;47.5;27
SN-126;MFE01fp;fp;18;Bimodal;50-75;N/A;Excesivo;;25;>15%;<25;Fina y media;Muy baja;0;0;47.5;27
SN-005;MFI01d;d;18;Bimodal;12-25;Ligero;Bien drenado;;N/A;N/A;50 - 75;Fina;Muy baja;0;0;56.2;6
SN-005;MFI01e;e;18;Bimodal;25-50;Ligero;Bien drenado;;N/A;N/A;50 - 75;Fina;Muy baja;0;0;56.2;6
SN-005;MFI01f;f;18;Bimodal;50-75;Ligero;Bien drenado;;N/A;N/A;50 - 75;Fina;Muy baja;0;0;56.2;6
SN-005;MFI01g;g;18;Bimodal;>75;Ligero;Bien drenado;;N/A;N/A;50 - 75;Fina;Muy baja;0;0;56.2;6
SN-003;MFI02bp;bp;18;Bimodal;3-7;Moderado;Pobre;;N/A;>15%;25 - 50;Fina;Baja;0;0;22.8;29
SN-003;MFI02cp;cp;18;Bimodal;7-12;Moderado;Pobre;;N/A;>15%;25 - 50;Fina;Baja;0;0;22.8;29
SN-003;MFI02dp;dp;18;Bimodal;12-25;Moderado;Pobre;;N/A;>15%;25 - 50;Fina;Baja;0;0;22.8;29
SN-128;MFI03bp;bp;18;Bimodal;3-7;Ligero;Bien drenado;;N/A;>15%;50 - 75;Fina y media;Muy baja;0;0;0;1
SN-128;MFI03cp;cp;18;Bimodal;7-12;Ligero;Bien drenado;;N/A;>15%;50 - 75;Fina y media;Muy baja;0;0;0;1
